Transaction Amount,Transaction Location,User Device Type,Transaction Time,is_fraud
300.8087355980535,18,mobile,15,0
263.154703096284,18,mobile,5,0
428.0500071537554,45,mobile,16,0
154.82270567638398,39,mobile,13,0
465.8188953373742,8,desktop,21,0
207.6907540500753,9,mobile,11,1
147.6116571470932,6,desktop,9,0
41.7021167268784,3,mobile,9,1
149.7844790063801,15,desktop,9,0
211.6693657383434,42,desktop,10,0
37.196550526416374,1,mobile,10,0
24.892331072714335,4,desktop,12,0
267.23196867842205,2,mobile,1,0
274.0792018299196,10,desktop,7,1
104.12578789071964,40,desktop,3,0
466.88722042068764,3,desktop,17,0
326.7717654747926,2,mobile,15,0
466.4693366456515,29,desktop,2,0
265.99175832448424,36,desktop,5,0
92.86300930033961,1,mobile,9,0
55.71958042131653,48,desktop,1,1
379.68523762349497,44,mobile,8,0
348.32260526602084,39,desktop,9,0
235.27033570033288,26,desktop,22,0
188.94417991094085,24,desktop,15,0
211.85702252143517,7,desktop,21,0
479.76935827295654,47,desktop,11,0
339.03377037900515,19,mobile,16,0
57.98251161902371,48,mobile,3,0
274.41597338019847,45,mobile,17,0
481.0960685199304,31,mobile,22,0
317.20744803421877,22,mobile,19,0
125.88983058146354,9,mobile,10,0
494.8019508328369,2,mobile,13,0
457.3823937458959,19,desktop,14,0
493.64163670943725,15,desktop,1,0
323.63067803045624,4,mobile,13,0
226.8129865437812,19,mobile,9,0
447.4223295313599,35,mobile,13,0
222.5633597109054,20,desktop,8,0
419.75905149673787,39,desktop,20,0
280.81343997479325,8,desktop,22,1
144.71673367291297,11,desktop,19,0
167.75651712764986,3,desktop,7,0
54.16521536405542,15,mobile,20,0
308.03914930946155,36,mobile,11,0
135.01368359909796,17,desktop,18,0
234.4162441843877,27,mobile,23,0
230.04401262932717,46,desktop,9,0
487.84276317032595,7,mobile,2,0
42.900205240486294,16,desktop,19,0
185.83912859592806,48,desktop,4,0
425.4538303548036,17,mobile,14,0
345.2205539140746,16,desktop,1,0
368.37572022675704,30,desktop,14,0
50.33859461079053,17,mobile,20,0
448.0278417157987,19,desktop,16,1
283.0083658612988,27,desktop,21,0
185.24560738239018,16,mobile,13,0
87.07306233395948,28,desktop,4,0
98.94936132426312,1,desktop,8,0
275.50756654868303,7,desktop,14,0
319.3296591277104,10,desktop,19,0
141.0943885854845,38,mobile,1,0
289.9186281892101,41,mobile,20,0
218.6662348163317,4,mobile,22,0
241.70170132131804,38,mobile,19,0
303.732380282387,10,mobile,2,0
15.220758253239149,33,mobile,2,0
364.82166917987206,34,desktop,17,0
102.59072287915725,9,mobile,9,0
329.9945796630953,3,desktop,8,0
113.15236674015402,26,mobile,7,0
434.9349276532509,19,mobile,22,0
219.8631173942548,16,mobile,16,0
264.20520540429845,46,desktop,5,0
74.33679112157222,42,desktop,15,0
88.46582808499458,46,desktop,7,0
156.2765362652934,44,desktop,7,0
352.18079494312207,42,mobile,6,0
146.65422112676794,13,desktop,18,0
257.6043437858317,9,mobile,4,0
60.28160645004535,2,mobile,19,0
393.7206978292938,23,desktop,3,0
452.5629330487344,5,desktop,9,0
23.781068159396273,12,desktop,1,1
335.4944331227706,36,desktop,23,0
344.42184537272146,29,desktop,1,0
111.34563324523315,23,desktop,22,0
129.64249854746956,47,desktop,23,0
289.4409047665904,35,mobile,23,0
435.4112693984204,1,mobile,23,1
244.08611401045349,35,desktop,21,0
302.49988116843997,38,mobile,6,0
318.3910229293499,11,mobile,20,0
434.4672113048934,27,desktop,7,0
112.97128296562316,19,desktop,9,0
495.41378694749477,47,desktop,12,0
409.6464805458965,47,mobile,1,0
167.16427429521568,39,mobile,14,0
202.72920972519242,30,mobile,3,0
339.58617700613445,15,desktop,23,0
498.90736749015167,23,mobile,2,0
248.8938877935163,26,desktop,14,0
393.31385651227066,36,desktop,2,0
113.44121276036377,7,mobile,20,0
162.99226659732554,23,desktop,11,0
129.97717967682377,8,desktop,20,0
122.47676489782351,8,desktop,18,0
164.30376645889805,40,desktop,17,0
246.66214062943993,48,mobile,9,0
166.66801096222497,23,desktop,16,0
474.9815375661796,5,desktop,7,0
271.09999315464836,3,mobile,17,0
293.4049790464868,47,mobile,7,0
398.5607960703792,45,mobile,20,0
474.7318354161887,27,mobile,14,0
468.16820591415586,4,mobile,15,0
428.95357323590946,23,desktop,11,0
203.4423715569637,7,mobile,21,0
481.21817000978467,14,desktop,8,0
127.13319820608825,21,desktop,1,0
410.13475100555945,32,desktop,18,0
350.86309432975185,5,mobile,21,0
67.74776826414295,41,desktop,11,0
180.24223719936975,44,desktop,7,0
155.09414411960543,21,desktop,4,0
188.659183527332,17,desktop,16,0
380.7960198394543,1,mobile,12,1
239.3787400653256,8,desktop,7,0
398.59932440750913,25,mobile,17,0
98.3043542310462,46,mobile,6,0
438.5200395971813,26,mobile,3,0
313.865045964504,18,mobile,19,0
264.07850120458573,7,desktop,2,0
329.7675610995322,9,mobile,11,0
107.64466193284547,2,desktop,12,0
312.0987866416223,23,mobile,11,0
269.8964885727513,46,desktop,19,0
82.72797097858246,32,mobile,7,0
470.8137500730292,47,desktop,1,0
347.9820444731155,30,mobile,19,0
450.8533983689019,26,mobile,10,0
166.57349428816306,21,mobile,9,0
346.9044365387164,49,desktop,11,0
464.07978506236515,12,desktop,12,0
95.56970835139153,20,desktop,1,0
119.96387861222688,23,mobile,18,0
237.97562993231864,6,desktop,18,0
193.0178245149911,16,mobile,22,0
56.37116496526555,29,mobile,21,0
59.12212438777233,17,desktop,14,0
178.20681021569055,32,mobile,15,0
13.494723685754169,16,mobile,17,1
484.5202740439015,23,desktop,8,0
326.00325259720654,35,mobile,21,0
187.05677122130865,18,desktop,15,0
64.17620191311056,14,mobile,13,0
414.0152168679298,7,desktop,3,0
168.28033677877582,3,desktop,8,0
417.7229539212678,5,mobile,5,0
19.957211056780643,26,desktop,21,0
118.86353479402199,25,desktop,6,0
243.6557448833194,26,mobile,11,0
29.153711118575075,49,desktop,23,0
478.2393762611317,31,desktop,19,0
407.31290554954944,9,mobile,18,0
495.62967729661165,25,desktop,21,0
80.30752765869383,41,mobile,9,0
422.52550798492246,29,mobile,21,0
282.2696950750553,21,desktop,15,0
482.16868911621015,33,desktop,2,0
139.0860522510839,11,desktop,1,0
323.5986395820004,17,desktop,9,0
254.78433892398627,35,desktop,22,0
354.62268515037766,20,mobile,14,0
441.54552326038277,38,desktop,12,0
342.82116363055184,27,desktop,18,0
274.7762740192365,8,mobile,23,0
186.6296433368812,20,mobile,10,0
90.37759761262751,28,mobile,23,0
192.01266191185957,13,mobile,14,0
130.1356960135526,13,mobile,21,0
5.547711373672709,33,desktop,2,1
404.5104067322054,3,desktop,3,0
490.6953833324043,28,mobile,4,0
310.0874497883103,18,desktop,11,0
324.90494606085963,14,mobile,7,0
100.49893306483085,38,mobile,7,0
31.587851735820763,2,desktop,23,0
215.272157111804,31,mobile,9,0
381.66395238389634,40,mobile,9,0
289.6093103246637,47,desktop,17,0
241.00236779794648,2,mobile,6,0
215.4580967399201,30,mobile,7,0
279.32897196583974,18,desktop,17,0
93.87880397305629,21,desktop,10,0
31.059724244308214,14,desktop,13,0
490.4091930901087,15,mobile,8,0
176.75030859512688,4,desktop,14,0
492.70909087093213,34,desktop,17,0
287.25493651057985,1,desktop,13,1
89.26972690855455,1,mobile,9,0
202.65839648217684,5,mobile,14,0
203.89045328350704,36,mobile,4,0
186.15493291674537,29,desktop,8,0
347.10293958947517,30,desktop,3,0
94.48602230032947,25,desktop,12,0
182.32956779993538,17,mobile,20,0
468.4686352090992,29,desktop,19,0
465.69198157364775,20,mobile,10,0
106.21128650149808,12,desktop,3,0
488.6935550529392,37,desktop,16,0
488.64546152654276,25,mobile,14,0
236.32925261232054,19,mobile,20,0
397.2095575216173,1,mobile,18,0
11.428669966356736,42,desktop,4,0
260.4648810092977,40,mobile,10,0
47.35999346429003,6,mobile,5,0
444.6917413594894,6,desktop,18,0
409.8125937116376,41,desktop,9,0
342.1732962665011,29,mobile,17,0
145.35437536933162,8,mobile,16,0
272.8093933475975,5,desktop,15,0
133.98061925576414,9,desktop,13,0
15.449856087032867,11,desktop,11,0
173.73656302899786,12,desktop,19,0
38.199462928016935,2,mobile,19,0
283.9320547375492,26,mobile,12,0
334.28347089914416,8,desktop,17,0
275.454036853561,32,mobile,21,0
233.54778715620247,36,desktop,16,1
62.786136187176375,48,desktop,1,0
223.76802128261508,3,mobile,8,0
203.26180029126817,42,desktop,6,0
342.24255311478703,34,desktop,7,1
412.06149315023384,37,desktop,10,0
101.36950106814622,30,mobile,11,0
388.52128906792717,23,desktop,12,0
427.8880672121146,29,desktop,4,1
27.45090446623368,39,mobile,11,0
239.10739494138264,30,desktop,13,0
438.89978720291043,42,mobile,6,0
328.4260559337335,1,desktop,9,0
440.9839310889948,8,desktop,5,0
456.3833205538515,11,mobile,19,0
136.5345756178983,11,mobile,22,0
245.117584270375,15,desktop,22,0
489.9017651006881,33,mobile,11,0
358.0787035364271,29,desktop,3,0
471.2973788322417,35,desktop,8,0
365.6083659698976,25,desktop,4,1
428.2285483417137,49,mobile,2,0
170.98201286100078,30,desktop,18,0
424.4949387760058,10,mobile,10,0
314.3107719738792,37,desktop,11,0
489.14184049177317,42,desktop,9,0
213.96798232824852,28,desktop,1,0
344.0938399623132,7,desktop,9,0
19.631571078826227,32,mobile,21,0
489.68166040801714,8,mobile,3,0
233.35589307121487,36,desktop,11,0
221.55021676674357,35,mobile,1,0
73.6588933046752,12,desktop,15,0
278.5792948116022,27,mobile,18,0
466.49101239522616,24,mobile,3,0
100.5465049603247,24,mobile,11,0
487.515366195412,17,desktop,5,0
173.69759043143026,47,mobile,19,0
212.78169601354838,39,mobile,18,0
151.4216406647007,4,mobile,18,0
188.42844776334812,29,desktop,6,0
109.28078145876175,18,mobile,15,0
255.20160068669475,22,desktop,18,1
456.3935223838398,25,desktop,19,0
448.64273008549384,49,desktop,21,0
482.2607409053864,36,desktop,2,0
75.93706313861945,25,mobile,5,0
226.55530396976994,35,mobile,1,0
96.7239238913924,48,desktop,21,0
135.57000985024504,23,desktop,2,0
218.49428366447142,24,mobile,15,1
453.8869737508002,28,desktop,8,0
94.49695549499228,49,mobile,22,0
237.34770769465774,11,desktop,16,0
225.24586968028584,19,mobile,7,0
33.96197313559677,38,mobile,4,0
476.349626245842,13,mobile,18,0
363.4724396984073,19,desktop,20,0
68.52173877068907,14,mobile,1,0
355.4111802892666,22,mobile,8,0
110.35800401963948,49,mobile,6,0
372.24064247740296,37,desktop,15,0
74.17274010641822,15,mobile,12,0
81.88814516765359,16,mobile,10,0
20.66705945194606,27,mobile,11,0
151.5660526866244,8,desktop,13,0
183.46477864528237,13,mobile,7,0
365.18287991046367,36,desktop,12,0
201.09746960831592,8,mobile,22,0
366.0549147998248,16,desktop,17,0
486.7328789882952,29,desktop,18,0
28.465447067138747,31,desktop,21,0
142.78911496374198,14,mobile,13,0
243.2867919388213,12,mobile,1,0
338.77983229201243,21,desktop,11,0
398.2493471855115,23,mobile,21,0
102.31976688590693,18,desktop,12,0
146.80477103111517,43,mobile,20,0
122.20404515454845,22,desktop,15,0
418.14024274194077,38,mobile,14,0
223.96987574094777,9,desktop,15,0
266.24529498956065,16,mobile,2,0
266.12362230985127,25,mobile,21,0
45.554281194315784,34,desktop,15,0
359.47113319338916,13,desktop,10,0
430.08385914508335,11,mobile,15,0
472.9091615035434,32,mobile,14,0
